1 2 3 4 5 6 7 8 9 10 
1 1 1 1 1 1 1 1 1 1 
2112245347 4078945871 4057179015 3532896618 904355503 3650861695 7207684390 939785538 4210672681 2232387792 
0.21 0.38 0.25 0.21 0.12 0.29 0.50 0.08 0.33 0.21 
1 2 3 4 5 6 7 8 9 10 
2 2 2 2 2 2 2 2 2 2 
4507969390 2930926970 5967239601 6912509671 3760397252 5831084287 4801353821 3517607992 3472126290 5590647027 
0.38 0.33 0.38 0.50 0.25 0.50 0.38 0.33 0.21 0.50 
1 2 3 4 5 6 7 8 9 10 
3 3 3 3 3 3 3 3 3 3 
3224454433 5509899181 3875781970 5343416733 4049342881 4693592734 1690561959 1038469097 4167205858 2305760821 
0.25 0.46 0.33 0.50 0.33 0.46 0.17 0.08 0.29 0.21 
1 2 3 4 5 6 7 8 9 10 
4 4 4 4 4 4 4 4 4 4 
1550979812 6482296375 2922024209 2659987449 2810393221 5442096750 1053621660 5498343000 2015312308 6701658595 
0.12 0.46 0.17 0.21 0.17 0.46 0.12 0.46 0.12 0.46 
1 2 3 4 5 6 7 8 9 10 
5 5 5 5 5 5 5 5 5 5 
306610080 4200536211 6974002432 5170403381 4719073507 4782906363 2191753557 5230808252 1806192013 5809739709 
0.08 0.29 0.50 0.42 0.33 0.42 0.12 0.46 0.17 0.46 
1 2 3 4 5 6 7 8 9 10 
6 6 6 6 6 6 6 6 6 6 
828844390 2547384074 2347751189 1280525163 2003028710 1619800780 2546774116 2293239033 122614236 1558544409 
0.17 0.29 0.38 0.17 0.25 0.17 0.21 0.38 0.08 0.29 
1 2 3 4 5 6 7 8 9 10 
7 7 7 7 7 7 7 7 7 7 
6622095050 6328332647 2255971090 4477246507 6210760281 2897996239 4203739924 5319907421 3844443667 7052361651 
0.42 0.46 0.12 0.21 0.46 0.25 0.42 0.38 0.25 0.50 
1 2 3 4 5 6 7 8 9 10 
8 8 8 8 8 8 8 8 8 8 
2701823166 4140011427 4067901363 3062699306 3896064971 334581031 3925060721 613333916 1846936195 4645743093 
0.21 0.46 0.50 0.29 0.50 0.12 0.42 0.12 0.25 0.50 
1 2 3 4 5 6 7 8 9 10 
9 9 9 9 9 9 9 9 9 9 
337351420 3046363055 4162633151 6114073199 5562901163 564707796 3664669364 5549219840 4826951400 1803332355 
0.08 0.21 0.38 0.46 0.50 0.08 0.33 0.46 0.46 0.12 
1 2 3 4 5 6 7 8 9 10 
10 10 10 10 10 10 10 10 10 10 
1786408997 2975326222 5725350466 1523002800 7427431771 2840355252 2882617528 4314095502 4527932032 290985703 
0.21 0.25 0.38 0.08 0.46 0.21 0.17 0.25 0.33 0.08 
1 2 3 4 5 6 7 8 9 10 
11 11 11 11 11 11 11 11 11 11 
3602178825 3881803552 5870485467 3997006836 5115246200 3088005101 207469256 1604559540 868808897 3654798839 
0.33 0.50 0.50 0.42 0.42 0.42 0.08 0.12 0.08 0.29 
1 2 3 4 5 6 7 8 9 10 
12 12 12 12 12 12 12 12 12 12 
3888796000 1255748356 3819987042 1313679752 690096505 2905925338 1656965264 4393016953 3779819034 2268571395 
0.29 0.17 0.33 0.08 0.08 0.33 0.17 0.33 0.38 0.17 
1 2 3 4 5 6 7 8 9 10 
13 13 13 13 13 13 13 13 13 13 
1277820679 2476985254 200890376 532709445 1045416187 1388467053 661534610 2400295451 1364870976 1970408676 
0.21 0.21 0.08 0.08 0.08 0.17 0.08 0.21 0.12 0.25 
1 2 3 4 5 6 7 8 9 10 
14 14 14 14 14 14 14 14 14 14 
2545837873 6537873710 5164934121 2718019805 6479750677 2458592933 999271462 690845770 6142782570 965423430 
0.17 0.46 0.38 0.21 0.46 0.21 0.08 0.08 0.42 0.08 
1 2 3 4 5 6 7 8 9 10 
15 15 15 15 15 15 15 15 15 15 
6595789543 6496776533 2898087278 3496746360 1110007041 4646456215 7948643299 2805088952 6852111111 1124045260 
0.46 0.42 0.25 0.29 0.08 0.29 0.50 0.21 0.50 0.12 
1 2 3 4 5 6 7 8 9 10 
16 16 16 16 16 16 16 16 16 16 
2835972990 4158875704 4607307629 2208030852 7394172253 6140055135 5403577579 5329930131 5788649914 4264828456 
0.25 0.29 0.38 0.17 0.46 0.46 0.33 0.38 0.42 0.33 
1 2 3 4 5 6 7 8 9 10 
17 17 17 17 17 17 17 17 17 17 
2864212225 1886908413 5478418889 6519285790 1634490773 1572710459 3186958006 6236625800 779414923 2835622317 
0.21 0.17 0.50 0.46 0.17 0.17 0.29 0.50 0.08 0.29 
1 2 3 4 5 6 7 8 9 10 
18 18 18 18 18 18 18 18 18 18 
5939599671 2703564314 6403287418 4340433422 984255098 6163034066 4692661495 6349095999 6499871440 5833290179 
0.50 0.29 0.46 0.33 0.08 0.50 0.33 0.42 0.46 0.50 
1 2 3 4 5 6 7 8 9 10 
19 19 19 19 19 19 19 19 19 19 
2670749400 1681750135 3911490035 5735188041 4526878377 2346696668 3136877489 2995974698 986458961 1421086756 
0.21 0.12 0.25 0.42 0.33 0.17 0.25 0.29 0.08 0.12 
1 2 3 4 5 6 7 8 9 10 
20 20 20 20 20 20 20 20 20 20 
5139400945 809387409 4682311433 4483837408 3690402036 4516577957 4603556325 5200408409 6887417861 6458416198 
0.33 0.08 0.33 0.42 0.29 0.33 0.33 0.38 0.50 0.46 
1 2 3 4 5 6 7 8 9 10 
21 21 21 21 21 21 21 21 21 21 
5439674223 7527081475 995623992 5358440815 1142415197 3769195264 2738694899 4291081044 6546542981 2857189760 
0.50 0.50 0.08 0.42 0.08 0.33 0.21 0.33 0.46 0.25 
1 2 3 4 5 6 7 8 9 10 
22 22 22 22 22 22 22 22 22 22 
5773920309 3979331395 2332095186 1834180917 4721009289 2133890528 5648209695 1933355393 1983914498 3025746074 
0.42 0.46 0.12 0.17 0.38 0.12 0.42 0.21 0.21 0.17 
1 2 3 4 5 6 7 8 9 10 
23 23 23 23 23 23 23 23 23 23 
